%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1716886405009160451,89792,1716886405008514243,imu_link,0.007509908515,-0.00475161260831,0.987516059023,0.157267468423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000208707198501,-0.00101591286984,-4.92579095214e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00741539753125,0.0007938741875,9.8103356358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886405174437016,89793,1716886405173534817,imu_link,-0.00616686035108,0.00438356588429,0.987518723051,0.157319820134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000208707198501,-0.00101591286984,-0.00058137051772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00729332721875,0.001160085125,9.81064081159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886405339445096,89794,1716886405338554512,imu_link,0.00761652252312,-0.0048767265516,0.987506525135,0.157318368091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000740819864907,-0.00101591286984,-4.92579095214e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072322920625,0.001160085125,9.8103356358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886405504522493,89795,1716886405503586661,imu_link,-0.00597868477358,0.00437901812803,0.987518545727,0.157328323492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000208707198501,-0.00101591286984,-4.92579095214e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007598503,0.00170940153125,9.81015253034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886405669564496,89796,1716886405668554770,imu_link,0.0076699746981,-0.00503503873079,0.987503952998,0.157326929312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000208707198501,-0.00101591286984,-4.92579095214e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00704918659375,0.00097697965625,9.81039667096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886405834172738,89797,1716886405833555193,imu_link,-0.00587474208747,0.00428480883954,0.987518310271,0.157336310809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000208707198501,-0.00101591286984,-4.92579095214e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00717125690625,0.000671803875,9.80996942487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886406000416810,89798,1716886405999557184,imu_link,0.00790306923706,-0.00515935870215,0.987493435593,0.157377371864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000740819864907,-0.00101591286984,-0.00058137051772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00741539753125,0.0012821554375,9.81057977643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886406165234823,89799,1716886406164538635,imu_link,-0.00563057586804,0.00412712550888,0.987512090258,0.157388484474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000740819864907,-0.00101591286984,-4.92579095214e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00704918659375,0.00158733121875,9.81057977643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886406330177118,89800,1716886406329536903,imu_link,0.00808376037882,-0.0052452040674,0.987483305198,0.157428912872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000208707198501,-0.00101591286984,-0.00058137051772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00704918659375,0.00146526090625,9.81021356549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886406495210612,89801,1716886406494557164,imu_link,-0.00553415344582,0.00401971802301,0.987504871499,0.157439968808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000208707198501,-0.000483800203432,-4.92579095214e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00717125690625,0.001160085125,9.8103356358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886406662534156,89802,1716886406661544057,imu_link,0.00829805788267,-0.00546309640291,0.987479073336,0.157436896998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000208707198501,-0.000483800203432,-4.92579095214e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00704918659375,0.000671803875,9.81039667096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1716886406828267540,89803,1716886406826567926,imu_link,-0.00532885611789,0.00370036100482,0.987513108408,0.157403212618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000208707198501,-0.00101591286984,0.000482854698677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001739128,0.0010380148125,9.81045770612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
